scope,borough,property_segment,feature,n,spearman_corr_log_ppsf,direction,abs_corr
borough_segment,4,ELEVATOR,gross_square_feet,27466,-0.7982293807045665,negative,0.7982293807045665
borough_segment,3,SMALL_MULTI,gross_square_feet,6799,-0.7209163394148402,negative,0.7209163394148402
borough_segment,3,ELEVATOR,gross_square_feet,24161,-0.6951098061633398,negative,0.6951098061633398
borough_segment,5,ELEVATOR,gross_square_feet,960,-0.6883856343695685,negative,0.6883856343695685
borough_segment,5,WALKUP,total_units,341,-0.617181583528776,negative,0.617181583528776
borough_segment,5,WALKUP,residential_units,341,-0.6168405901367234,negative,0.6168405901367234
segment,ALL,ELEVATOR,gross_square_feet,125772,-0.5676883195944458,negative,0.5676883195944458
borough_segment,1,ELEVATOR,gross_square_feet,65554,-0.5567859796157784,negative,0.5567859796157784
borough_segment,3,ELEVATOR,distance_to_center_km,24161,-0.5382163804271641,negative,0.5382163804271641
borough,4,ALL,gross_square_feet,89300,-0.5163132194130858,negative,0.5163132194130858
borough,1,ALL,gross_square_feet,80141,-0.4988641321662238,negative,0.4988641321662238
borough_segment,2,SINGLE_FAMILY,gross_square_feet,14290,-0.491160882807081,negative,0.491160882807081
borough_segment,5,SINGLE_FAMILY,gross_square_feet,25962,-0.48804538442425,negative,0.48804538442425
borough_segment,4,WALKUP,residential_units,2623,-0.4802091974898617,negative,0.4802091974898617
borough_segment,4,WALKUP,total_units,2623,-0.47709755443372726,negative,0.47709755443372726
borough_segment,4,ELEVATOR,building_age,27466,-0.47415024074159656,negative,0.47415024074159656
borough,5,ALL,gross_square_feet,27565,-0.46575419194019335,negative,0.46575419194019335
borough_segment,3,WALKUP,total_units,5786,-0.4514959278314489,negative,0.4514959278314489
borough_segment,3,WALKUP,residential_units,5786,-0.450790753038007,negative,0.450790753038007
global,ALL,ALL,gross_square_feet,295457,-0.4393447005401955,negative,0.4393447005401955
borough_segment,4,WALKUP,distance_to_center_km,8521,-0.4356604641650722,negative,0.4356604641650722
borough_segment,4,SMALL_MULTI,distance_to_center_km,1627,-0.4303460562375518,negative,0.4303460562375518
borough,3,ALL,gross_square_feet,74715,-0.42968689390408327,negative,0.42968689390408327
segment,ALL,SMALL_MULTI,gross_square_feet,15411,-0.4233993677481102,negative,0.4233993677481102
borough_segment,4,SMALL_MULTI,total_units,863,-0.4188868136449888,negative,0.4188868136449888
borough_segment,4,SMALL_MULTI,residential_units,863,-0.4169281059344937,negative,0.4169281059344937
segment,ALL,ELEVATOR,distance_to_center_km,125772,-0.4154800981142551,negative,0.4154800981142551
borough_segment,2,ELEVATOR,gross_square_feet,7631,-0.4001773733366637,negative,0.4001773733366637
borough_segment,4,ELEVATOR,distance_to_center_km,27466,-0.39365022424452056,negative,0.39365022424452056
borough_segment,4,SMALL_MULTI,building_age,1627,-0.3784462329002673,negative,0.3784462329002673
borough_segment,4,SINGLE_FAMILY,gross_square_feet,51686,-0.3648113051249652,negative,0.3648113051249652
borough_segment,3,WALKUP,gross_square_feet,8694,-0.3624557936752996,negative,0.3624557936752996
borough_segment,5,ELEVATOR,building_age,960,-0.3615435294592716,negative,0.3615435294592716
borough_segment,1,SINGLE_FAMILY,residential_units,1268,-0.35786535883143233,negative,0.35786535883143233
global,ALL,ALL,total_units,210148,-0.35734760258766163,negative,0.35734760258766163
borough,3,ALL,total_units,60972,-0.3570303570722685,negative,0.3570303570722685
borough_segment,1,SINGLE_FAMILY,total_units,1268,-0.3565587732097556,negative,0.3565587732097556
global,ALL,ALL,residential_units,210148,-0.3543856803900858,negative,0.3543856803900858
borough,3,ALL,residential_units,60972,-0.3507260547524747,negative,0.3507260547524747
borough_segment,5,WALKUP,gross_square_feet,601,-0.3357328078544603,negative,0.3357328078544603
borough_segment,4,SMALL_MULTI,gross_square_feet,1627,-0.3330811226047839,negative,0.3330811226047839
borough,3,ALL,distance_to_center_km,74715,-0.32410424999244186,negative,0.32410424999244186
borough_segment,1,SMALL_MULTI,distance_to_center_km,6757,0.3213184170237961,positive,0.3213184170237961
global,ALL,ALL,distance_to_center_km,295457,-0.3204910279494935,negative,0.3204910279494935
segment,ALL,WALKUP,residential_units,12581,-0.3122203200416879,negative,0.3122203200416879
segment,ALL,WALKUP,distance_to_center_km,26007,-0.3104118642388656,negative,0.3104118642388656
segment,ALL,WALKUP,total_units,12581,-0.3102340968922826,negative,0.3102340968922826
borough_segment,3,ELEVATOR,building_age,24161,-0.309703571495363,negative,0.309703571495363
borough_segment,2,SINGLE_FAMILY,total_units,14050,-0.3077346708840326,negative,0.3077346708840326
borough,4,ALL,total_units,65369,-0.30454882292551844,negative,0.30454882292551844
borough_segment,2,SINGLE_FAMILY,residential_units,14050,-0.300508680887097,negative,0.300508680887097
borough,4,ALL,residential_units,65369,-0.2992893598325755,negative,0.2992893598325755
borough_segment,3,WALKUP,distance_to_center_km,8694,-0.2944001667052085,negative,0.2944001667052085
borough,2,ALL,total_units,17342,-0.29325472424997906,negative,0.29325472424997906
borough_segment,1,SMALL_MULTI,gross_square_feet,6757,0.2894852487255853,positive,0.2894852487255853
borough,2,ALL,residential_units,17342,-0.28818918925126014,negative,0.28818918925126014
borough_segment,4,SINGLE_FAMILY,distance_to_center_km,51686,-0.28301295269382426,negative,0.28301295269382426
borough,1,ALL,residential_units,39463,-0.2751851879673458,negative,0.2751851879673458
borough,1,ALL,total_units,39463,-0.2743977185939837,negative,0.2743977185939837
segment,ALL,SINGLE_FAMILY,gross_square_feet,128267,-0.2678273676185687,negative,0.2678273676185687
borough,1,ALL,building_age,80141,-0.24566179921835457,negative,0.24566179921835457
borough,2,ALL,gross_square_feet,23736,-0.24560100321523518,negative,0.24560100321523518
borough_segment,1,ELEVATOR,building_age,65554,-0.24212832890280095,negative,0.24212832890280095
borough_segment,3,SINGLE_FAMILY,building_age,35061,0.2403703637825312,positive,0.2403703637825312
borough_segment,3,SMALL_MULTI,distance_to_center_km,6799,-0.23975372887230548,negative,0.23975372887230548
segment,ALL,ELEVATOR,building_age,125772,-0.23877962242115935,negative,0.23877962242115935
borough_segment,1,WALKUP,residential_units,2592,-0.22339702189345378,negative,0.22339702189345378
borough_segment,1,WALKUP,total_units,2592,-0.2180604515753754,negative,0.2180604515753754
borough,5,ALL,total_units,27002,-0.21012986645931447,negative,0.21012986645931447
borough_segment,4,SINGLE_FAMILY,total_units,51277,-0.206387669211005,negative,0.206387669211005
borough_segment,5,SINGLE_FAMILY,total_units,25961,-0.2063768716774003,negative,0.2063768716774003
borough,5,ALL,residential_units,27002,-0.20230290130509135,negative,0.20230290130509135
borough_segment,4,SINGLE_FAMILY,residential_units,51277,-0.2001369492753349,negative,0.2001369492753349
borough_segment,5,SINGLE_FAMILY,residential_units,25961,-0.19824374407700038,negative,0.19824374407700038
borough_segment,2,WALKUP,gross_square_feet,1629,0.19517462789710885,positive,0.19517462789710885
borough_segment,2,WALKUP,residential_units,1239,-0.18975790799651804,negative,0.18975790799651804
borough_segment,2,WALKUP,total_units,1239,-0.18884766349041443,negative,0.18884766349041443
borough_segment,3,SINGLE_FAMILY,total_units,35061,-0.1835249053046445,negative,0.1835249053046445
borough_segment,2,ELEVATOR,total_units,1914,-0.18037881923123397,negative,0.18037881923123397
borough_segment,2,ELEVATOR,residential_units,1914,-0.18036635132669493,negative,0.18036635132669493
borough_segment,5,WALKUP,distance_to_center_km,601,0.17542915491217043,positive,0.17542915491217043
borough_segment,5,ELEVATOR,distance_to_center_km,960,0.17382092140861188,positive,0.17382092140861188
borough_segment,3,SINGLE_FAMILY,residential_units,35061,-0.17288021560525996,negative,0.17288021560525996
segment,ALL,SMALL_MULTI,total_units,9448,-0.1718772510126297,negative,0.1718772510126297
borough_segment,3,SINGLE_FAMILY,gross_square_feet,35061,-0.17116376204502184,negative,0.17116376204502184
borough,4,ALL,distance_to_center_km,89300,-0.16982642559202232,negative,0.16982642559202232
segment,ALL,SMALL_MULTI,residential_units,9448,-0.1692730226074054,negative,0.1692730226074054
segment,ALL,WALKUP,building_age,26007,0.16908635492277055,positive,0.16908635492277055
borough_segment,1,ELEVATOR,total_units,33769,-0.16047628202779174,negative,0.16047628202779174
borough_segment,1,ELEVATOR,residential_units,33769,-0.16043978088315328,negative,0.16043978088315328
segment,ALL,SINGLE_FAMILY,building_age,128267,0.15988773159991512,positive,0.15988773159991512
segment,ALL,SINGLE_FAMILY,distance_to_center_km,128267,-0.15978743734516399,negative,0.15978743734516399
borough_segment,1,SINGLE_FAMILY,building_age,1268,0.15831660389195723,positive,0.15831660389195723
segment,ALL,SINGLE_FAMILY,total_units,127617,-0.15067419351915043,negative,0.15067419351915043
segment,ALL,SINGLE_FAMILY,residential_units,127617,-0.14882338128390082,negative,0.14882338128390082
borough_segment,2,WALKUP,distance_to_center_km,1629,0.14434338914593697,positive,0.14434338914593697
borough,2,ALL,distance_to_center_km,23736,0.14295424304948282,positive,0.14295424304948282
borough_segment,2,WALKUP,building_age,1629,-0.1373790531229175,negative,0.1373790531229175
borough_segment,3,SMALL_MULTI,total_units,6570,-0.12774558282032994,negative,0.12774558282032994
borough_segment,3,SMALL_MULTI,residential_units,6570,-0.12278341955353546,negative,0.12278341955353546
segment,ALL,WALKUP,gross_square_feet,26007,-0.11853226935059473,negative,0.11853226935059473
segment,ALL,SMALL_MULTI,distance_to_center_km,15411,-0.1149875214619942,negative,0.1149875214619942
borough_segment,2,SINGLE_FAMILY,distance_to_center_km,14290,0.11335700994914452,positive,0.11335700994914452
segment,ALL,ELEVATOR,total_units,60502,-0.11311292387080266,negative,0.11311292387080266
segment,ALL,ELEVATOR,residential_units,60502,-0.1128361405372767,negative,0.1128361405372767
borough_segment,3,SMALL_MULTI,building_age,6799,0.10205894247974195,positive,0.10205894247974195
borough_segment,1,SINGLE_FAMILY,gross_square_feet,1268,0.09827328603642373,positive,0.09827328603642373
borough_segment,3,ELEVATOR,total_units,13555,-0.09760018217086038,negative,0.09760018217086038
borough_segment,3,ELEVATOR,residential_units,13555,-0.0970100519061218,negative,0.0970100519061218
borough_segment,4,WALKUP,gross_square_feet,8521,-0.09449743279125225,negative,0.09449743279125225
borough,5,ALL,distance_to_center_km,27565,0.09158356302521899,positive,0.09158356302521899
global,ALL,ALL,building_age,295457,-0.09142074488240706,negative,0.09142074488240706
borough_segment,2,ELEVATOR,building_age,7631,0.08741177550520847,positive,0.08741177550520847
borough_segment,4,ELEVATOR,residential_units,10606,0.08234960907342015,positive,0.08234960907342015
borough_segment,4,ELEVATOR,total_units,10606,0.0810971942558349,positive,0.0810971942558349
borough_segment,5,WALKUP,building_age,601,-0.08077677874353903,negative,0.08077677874353903
borough_segment,4,WALKUP,building_age,8521,0.0803863457181813,positive,0.0803863457181813
borough_segment,1,SINGLE_FAMILY,distance_to_center_km,1268,-0.07764208856090624,negative,0.07764208856090624
borough_segment,1,SMALL_MULTI,building_age,6757,0.07234173348970985,positive,0.07234173348970985
borough,2,ALL,building_age,23736,0.06429647144175127,positive,0.06429647144175127
borough_segment,2,ELEVATOR,distance_to_center_km,7631,-0.0619620959172612,negative,0.0619620959172612
borough_segment,1,WALKUP,distance_to_center_km,6562,0.05817637769969173,positive,0.05817637769969173
borough_segment,4,SINGLE_FAMILY,building_age,51686,-0.05728202745056994,negative,0.05728202745056994
borough_segment,3,SINGLE_FAMILY,distance_to_center_km,35061,-0.05691522431829398,negative,0.05691522431829398
borough_segment,5,SINGLE_FAMILY,distance_to_center_km,25962,0.055850496536440815,positive,0.055850496536440815
borough_segment,1,SMALL_MULTI,residential_units,1834,-0.0554052903521284,negative,0.0554052903521284
borough_segment,5,SINGLE_FAMILY,building_age,25962,0.05291870016922506,positive,0.05291870016922506
borough_segment,1,SMALL_MULTI,total_units,1834,-0.0506241537633658,negative,0.0506241537633658
borough_segment,1,WALKUP,gross_square_feet,6562,0.04557669808625247,positive,0.04557669808625247
segment,ALL,SMALL_MULTI,building_age,15411,0.039339370729653426,positive,0.039339370729653426
borough,5,ALL,building_age,27565,0.035948286684519395,positive,0.035948286684519395
borough_segment,1,WALKUP,building_age,6562,0.03182771014428475,positive,0.03182771014428475
borough_segment,2,SINGLE_FAMILY,building_age,14290,-0.03144218314755092,negative,0.03144218314755092
borough_segment,3,WALKUP,building_age,8694,-0.020680490361850684,flat,0.020680490361850684
borough_segment,5,ELEVATOR,total_units,658,-0.019552048174230507,flat,0.019552048174230507
borough_segment,5,ELEVATOR,residential_units,658,-0.019552048174230507,flat,0.019552048174230507
borough_segment,1,ELEVATOR,distance_to_center_km,65554,-0.016729830997069952,flat,0.016729830997069952
borough,3,ALL,building_age,74715,-0.013387443533418919,flat,0.013387443533418919
borough,1,ALL,distance_to_center_km,80141,0.0011153253055132197,flat,0.0011153253055132197
borough,4,ALL,building_age,89300,-0.0003282096278570757,flat,0.0003282096278570757
