segment,period,feature,n,missing_n,missing_rate
ELEVATOR,2023Q3,borough,1950,0,0.0
ELEVATOR,2023Q3,building_age,1950,0,0.0
ELEVATOR,2023Q3,building_class,1950,0,0.0
ELEVATOR,2023Q3,days_since_2019_start,1950,0,0.0
ELEVATOR,2023Q3,distance_to_center_km,1950,0,0.0
ELEVATOR,2023Q3,gross_square_feet,1950,0,0.0
ELEVATOR,2023Q3,h3_price_lag,1950,0,0.0
ELEVATOR,2023Q3,month_cos,1950,0,0.0
ELEVATOR,2023Q3,month_sin,1950,0,0.0
ELEVATOR,2023Q3,neighborhood,1950,0,0.0
ELEVATOR,2023Q3,property_segment,1950,0,0.0
ELEVATOR,2023Q3,rate_regime_bucket,1950,0,0.0
ELEVATOR,2023Q3,residential_units,1950,1037,0.5317948717948718
ELEVATOR,2023Q3,total_units,1950,1037,0.5317948717948718
ELEVATOR,2023Q3,year_built,1950,0,0.0
ELEVATOR,2023Q4,borough,4496,0,0.0
ELEVATOR,2023Q4,building_age,4496,0,0.0
ELEVATOR,2023Q4,building_class,4496,0,0.0
ELEVATOR,2023Q4,days_since_2019_start,4496,0,0.0
ELEVATOR,2023Q4,distance_to_center_km,4496,0,0.0
ELEVATOR,2023Q4,gross_square_feet,4496,0,0.0
ELEVATOR,2023Q4,h3_price_lag,4496,0,0.0
ELEVATOR,2023Q4,month_cos,4496,0,0.0
ELEVATOR,2023Q4,month_sin,4496,0,0.0
ELEVATOR,2023Q4,neighborhood,4496,0,0.0
ELEVATOR,2023Q4,property_segment,4496,0,0.0
ELEVATOR,2023Q4,rate_regime_bucket,4496,0,0.0
ELEVATOR,2023Q4,residential_units,4496,2474,0.5502669039145908
ELEVATOR,2023Q4,total_units,4496,2474,0.5502669039145908
ELEVATOR,2023Q4,year_built,4496,0,0.0
ELEVATOR,2024Q1,borough,4158,0,0.0
ELEVATOR,2024Q1,building_age,4158,0,0.0
ELEVATOR,2024Q1,building_class,4158,0,0.0
ELEVATOR,2024Q1,days_since_2019_start,4158,0,0.0
ELEVATOR,2024Q1,distance_to_center_km,4158,0,0.0
ELEVATOR,2024Q1,gross_square_feet,4158,0,0.0
ELEVATOR,2024Q1,h3_price_lag,4158,0,0.0
ELEVATOR,2024Q1,month_cos,4158,0,0.0
ELEVATOR,2024Q1,month_sin,4158,0,0.0
ELEVATOR,2024Q1,neighborhood,4158,0,0.0
ELEVATOR,2024Q1,property_segment,4158,0,0.0
ELEVATOR,2024Q1,rate_regime_bucket,4158,0,0.0
ELEVATOR,2024Q1,residential_units,4158,2295,0.551948051948052
ELEVATOR,2024Q1,total_units,4158,2295,0.551948051948052
ELEVATOR,2024Q1,year_built,4158,0,0.0
ELEVATOR,2024Q2,borough,5202,0,0.0
ELEVATOR,2024Q2,building_age,5202,0,0.0
ELEVATOR,2024Q2,building_class,5202,0,0.0
ELEVATOR,2024Q2,days_since_2019_start,5202,0,0.0
ELEVATOR,2024Q2,distance_to_center_km,5202,0,0.0
ELEVATOR,2024Q2,gross_square_feet,5202,0,0.0
ELEVATOR,2024Q2,h3_price_lag,5202,0,0.0
ELEVATOR,2024Q2,month_cos,5202,0,0.0
ELEVATOR,2024Q2,month_sin,5202,0,0.0
ELEVATOR,2024Q2,neighborhood,5202,0,0.0
ELEVATOR,2024Q2,property_segment,5202,0,0.0
ELEVATOR,2024Q2,rate_regime_bucket,5202,0,0.0
ELEVATOR,2024Q2,residential_units,5202,2704,0.5198000768935025
ELEVATOR,2024Q2,total_units,5202,2704,0.5198000768935025
ELEVATOR,2024Q2,year_built,5202,0,0.0
ELEVATOR,2024Q3,borough,5130,0,0.0
ELEVATOR,2024Q3,building_age,5130,0,0.0
ELEVATOR,2024Q3,building_class,5130,0,0.0
ELEVATOR,2024Q3,days_since_2019_start,5130,0,0.0
ELEVATOR,2024Q3,distance_to_center_km,5130,0,0.0
ELEVATOR,2024Q3,gross_square_feet,5130,0,0.0
ELEVATOR,2024Q3,h3_price_lag,5130,0,0.0
ELEVATOR,2024Q3,month_cos,5130,0,0.0
ELEVATOR,2024Q3,month_sin,5130,0,0.0
ELEVATOR,2024Q3,neighborhood,5130,0,0.0
ELEVATOR,2024Q3,property_segment,5130,0,0.0
ELEVATOR,2024Q3,rate_regime_bucket,5130,0,0.0
ELEVATOR,2024Q3,residential_units,5130,2748,0.5356725146198831
ELEVATOR,2024Q3,total_units,5130,2748,0.5356725146198831
ELEVATOR,2024Q3,year_built,5130,0,0.0
ELEVATOR,2024Q4,borough,4847,0,0.0
ELEVATOR,2024Q4,building_age,4847,0,0.0
ELEVATOR,2024Q4,building_class,4847,0,0.0
ELEVATOR,2024Q4,days_since_2019_start,4847,0,0.0
ELEVATOR,2024Q4,distance_to_center_km,4847,0,0.0
ELEVATOR,2024Q4,gross_square_feet,4847,0,0.0
ELEVATOR,2024Q4,h3_price_lag,4847,0,0.0
ELEVATOR,2024Q4,month_cos,4847,0,0.0
ELEVATOR,2024Q4,month_sin,4847,0,0.0
ELEVATOR,2024Q4,neighborhood,4847,0,0.0
ELEVATOR,2024Q4,property_segment,4847,0,0.0
ELEVATOR,2024Q4,rate_regime_bucket,4847,0,0.0
ELEVATOR,2024Q4,residential_units,4847,2456,0.5067051784609037
ELEVATOR,2024Q4,total_units,4847,2456,0.5067051784609037
ELEVATOR,2024Q4,year_built,4847,0,0.0
SINGLE_FAMILY,2023Q3,borough,1911,0,0.0
SINGLE_FAMILY,2023Q3,building_age,1911,0,0.0
SINGLE_FAMILY,2023Q3,building_class,1911,0,0.0
SINGLE_FAMILY,2023Q3,days_since_2019_start,1911,0,0.0
SINGLE_FAMILY,2023Q3,distance_to_center_km,1911,0,0.0
SINGLE_FAMILY,2023Q3,gross_square_feet,1911,0,0.0
SINGLE_FAMILY,2023Q3,h3_price_lag,1911,0,0.0
SINGLE_FAMILY,2023Q3,month_cos,1911,0,0.0
SINGLE_FAMILY,2023Q3,month_sin,1911,0,0.0
SINGLE_FAMILY,2023Q3,neighborhood,1911,0,0.0
SINGLE_FAMILY,2023Q3,property_segment,1911,0,0.0
SINGLE_FAMILY,2023Q3,rate_regime_bucket,1911,0,0.0
SINGLE_FAMILY,2023Q3,residential_units,1911,2,0.0010465724751439038
SINGLE_FAMILY,2023Q3,total_units,1911,2,0.0010465724751439038
SINGLE_FAMILY,2023Q3,year_built,1911,0,0.0
SINGLE_FAMILY,2023Q4,borough,4546,0,0.0
SINGLE_FAMILY,2023Q4,building_age,4546,0,0.0
SINGLE_FAMILY,2023Q4,building_class,4546,0,0.0
SINGLE_FAMILY,2023Q4,days_since_2019_start,4546,0,0.0
SINGLE_FAMILY,2023Q4,distance_to_center_km,4546,0,0.0
SINGLE_FAMILY,2023Q4,gross_square_feet,4546,0,0.0
SINGLE_FAMILY,2023Q4,h3_price_lag,4546,0,0.0
SINGLE_FAMILY,2023Q4,month_cos,4546,0,0.0
SINGLE_FAMILY,2023Q4,month_sin,4546,0,0.0
SINGLE_FAMILY,2023Q4,neighborhood,4546,0,0.0
SINGLE_FAMILY,2023Q4,property_segment,4546,0,0.0
SINGLE_FAMILY,2023Q4,rate_regime_bucket,4546,0,0.0
SINGLE_FAMILY,2023Q4,residential_units,4546,22,0.004839419269687638
SINGLE_FAMILY,2023Q4,total_units,4546,22,0.004839419269687638
SINGLE_FAMILY,2023Q4,year_built,4546,0,0.0
SINGLE_FAMILY,2024Q1,borough,4111,0,0.0
SINGLE_FAMILY,2024Q1,building_age,4111,0,0.0
SINGLE_FAMILY,2024Q1,building_class,4111,0,0.0
SINGLE_FAMILY,2024Q1,days_since_2019_start,4111,0,0.0
SINGLE_FAMILY,2024Q1,distance_to_center_km,4111,0,0.0
SINGLE_FAMILY,2024Q1,gross_square_feet,4111,0,0.0
SINGLE_FAMILY,2024Q1,h3_price_lag,4111,0,0.0
SINGLE_FAMILY,2024Q1,month_cos,4111,0,0.0
SINGLE_FAMILY,2024Q1,month_sin,4111,0,0.0
SINGLE_FAMILY,2024Q1,neighborhood,4111,0,0.0
SINGLE_FAMILY,2024Q1,property_segment,4111,0,0.0
SINGLE_FAMILY,2024Q1,rate_regime_bucket,4111,0,0.0
SINGLE_FAMILY,2024Q1,residential_units,4111,17,0.004135246898564826
SINGLE_FAMILY,2024Q1,total_units,4111,17,0.004135246898564826
SINGLE_FAMILY,2024Q1,year_built,4111,0,0.0
SINGLE_FAMILY,2024Q2,borough,4690,0,0.0
SINGLE_FAMILY,2024Q2,building_age,4690,0,0.0
SINGLE_FAMILY,2024Q2,building_class,4690,0,0.0
SINGLE_FAMILY,2024Q2,days_since_2019_start,4690,0,0.0
SINGLE_FAMILY,2024Q2,distance_to_center_km,4690,0,0.0
SINGLE_FAMILY,2024Q2,gross_square_feet,4690,0,0.0
SINGLE_FAMILY,2024Q2,h3_price_lag,4690,0,0.0
SINGLE_FAMILY,2024Q2,month_cos,4690,0,0.0
SINGLE_FAMILY,2024Q2,month_sin,4690,0,0.0
SINGLE_FAMILY,2024Q2,neighborhood,4690,0,0.0
SINGLE_FAMILY,2024Q2,property_segment,4690,0,0.0
SINGLE_FAMILY,2024Q2,rate_regime_bucket,4690,0,0.0
SINGLE_FAMILY,2024Q2,residential_units,4690,27,0.005756929637526652
SINGLE_FAMILY,2024Q2,total_units,4690,27,0.005756929637526652
SINGLE_FAMILY,2024Q2,year_built,4690,0,0.0
SINGLE_FAMILY,2024Q3,borough,4980,0,0.0
SINGLE_FAMILY,2024Q3,building_age,4980,0,0.0
SINGLE_FAMILY,2024Q3,building_class,4980,0,0.0
SINGLE_FAMILY,2024Q3,days_since_2019_start,4980,0,0.0
SINGLE_FAMILY,2024Q3,distance_to_center_km,4980,0,0.0
SINGLE_FAMILY,2024Q3,gross_square_feet,4980,0,0.0
SINGLE_FAMILY,2024Q3,h3_price_lag,4980,0,0.0
SINGLE_FAMILY,2024Q3,month_cos,4980,0,0.0
SINGLE_FAMILY,2024Q3,month_sin,4980,0,0.0
SINGLE_FAMILY,2024Q3,neighborhood,4980,0,0.0
SINGLE_FAMILY,2024Q3,property_segment,4980,0,0.0
SINGLE_FAMILY,2024Q3,rate_regime_bucket,4980,0,0.0
SINGLE_FAMILY,2024Q3,residential_units,4980,34,0.006827309236947791
SINGLE_FAMILY,2024Q3,total_units,4980,34,0.006827309236947791
SINGLE_FAMILY,2024Q3,year_built,4980,0,0.0
SINGLE_FAMILY,2024Q4,borough,4910,0,0.0
SINGLE_FAMILY,2024Q4,building_age,4910,0,0.0
SINGLE_FAMILY,2024Q4,building_class,4910,0,0.0
SINGLE_FAMILY,2024Q4,days_since_2019_start,4910,0,0.0
SINGLE_FAMILY,2024Q4,distance_to_center_km,4910,0,0.0
SINGLE_FAMILY,2024Q4,gross_square_feet,4910,0,0.0
SINGLE_FAMILY,2024Q4,h3_price_lag,4910,0,0.0
SINGLE_FAMILY,2024Q4,month_cos,4910,0,0.0
SINGLE_FAMILY,2024Q4,month_sin,4910,0,0.0
SINGLE_FAMILY,2024Q4,neighborhood,4910,0,0.0
SINGLE_FAMILY,2024Q4,property_segment,4910,0,0.0
SINGLE_FAMILY,2024Q4,rate_regime_bucket,4910,0,0.0
SINGLE_FAMILY,2024Q4,residential_units,4910,34,0.006924643584521385
SINGLE_FAMILY,2024Q4,total_units,4910,34,0.006924643584521385
SINGLE_FAMILY,2024Q4,year_built,4910,0,0.0
SMALL_MULTI,2023Q3,borough,247,0,0.0
SMALL_MULTI,2023Q3,building_age,247,0,0.0
SMALL_MULTI,2023Q3,building_class,247,0,0.0
SMALL_MULTI,2023Q3,days_since_2019_start,247,0,0.0
SMALL_MULTI,2023Q3,distance_to_center_km,247,0,0.0
SMALL_MULTI,2023Q3,gross_square_feet,247,0,0.0
SMALL_MULTI,2023Q3,h3_price_lag,247,0,0.0
SMALL_MULTI,2023Q3,month_cos,247,0,0.0
SMALL_MULTI,2023Q3,month_sin,247,0,0.0
SMALL_MULTI,2023Q3,neighborhood,247,0,0.0
SMALL_MULTI,2023Q3,property_segment,247,0,0.0
SMALL_MULTI,2023Q3,rate_regime_bucket,247,0,0.0
SMALL_MULTI,2023Q3,residential_units,247,102,0.41295546558704455
SMALL_MULTI,2023Q3,total_units,247,102,0.41295546558704455
SMALL_MULTI,2023Q3,year_built,247,0,0.0
SMALL_MULTI,2023Q4,borough,496,0,0.0
SMALL_MULTI,2023Q4,building_age,496,0,0.0
SMALL_MULTI,2023Q4,building_class,496,0,0.0
SMALL_MULTI,2023Q4,days_since_2019_start,496,0,0.0
SMALL_MULTI,2023Q4,distance_to_center_km,496,0,0.0
SMALL_MULTI,2023Q4,gross_square_feet,496,0,0.0
SMALL_MULTI,2023Q4,h3_price_lag,496,0,0.0
SMALL_MULTI,2023Q4,month_cos,496,0,0.0
SMALL_MULTI,2023Q4,month_sin,496,0,0.0
SMALL_MULTI,2023Q4,neighborhood,496,0,0.0
SMALL_MULTI,2023Q4,property_segment,496,0,0.0
SMALL_MULTI,2023Q4,rate_regime_bucket,496,0,0.0
SMALL_MULTI,2023Q4,residential_units,496,217,0.4375
SMALL_MULTI,2023Q4,total_units,496,217,0.4375
SMALL_MULTI,2023Q4,year_built,496,0,0.0
SMALL_MULTI,2024Q1,borough,485,0,0.0
SMALL_MULTI,2024Q1,building_age,485,0,0.0
SMALL_MULTI,2024Q1,building_class,485,0,0.0
SMALL_MULTI,2024Q1,days_since_2019_start,485,0,0.0
SMALL_MULTI,2024Q1,distance_to_center_km,485,0,0.0
SMALL_MULTI,2024Q1,gross_square_feet,485,0,0.0
SMALL_MULTI,2024Q1,h3_price_lag,485,0,0.0
SMALL_MULTI,2024Q1,month_cos,485,0,0.0
SMALL_MULTI,2024Q1,month_sin,485,0,0.0
SMALL_MULTI,2024Q1,neighborhood,485,0,0.0
SMALL_MULTI,2024Q1,property_segment,485,0,0.0
SMALL_MULTI,2024Q1,rate_regime_bucket,485,0,0.0
SMALL_MULTI,2024Q1,residential_units,485,172,0.354639175257732
SMALL_MULTI,2024Q1,total_units,485,172,0.354639175257732
SMALL_MULTI,2024Q1,year_built,485,0,0.0
SMALL_MULTI,2024Q2,borough,590,0,0.0
SMALL_MULTI,2024Q2,building_age,590,0,0.0
SMALL_MULTI,2024Q2,building_class,590,0,0.0
SMALL_MULTI,2024Q2,days_since_2019_start,590,0,0.0
SMALL_MULTI,2024Q2,distance_to_center_km,590,0,0.0
SMALL_MULTI,2024Q2,gross_square_feet,590,0,0.0
SMALL_MULTI,2024Q2,h3_price_lag,590,0,0.0
SMALL_MULTI,2024Q2,month_cos,590,0,0.0
SMALL_MULTI,2024Q2,month_sin,590,0,0.0
SMALL_MULTI,2024Q2,neighborhood,590,0,0.0
SMALL_MULTI,2024Q2,property_segment,590,0,0.0
SMALL_MULTI,2024Q2,rate_regime_bucket,590,0,0.0
SMALL_MULTI,2024Q2,residential_units,590,237,0.4016949152542373
SMALL_MULTI,2024Q2,total_units,590,237,0.4016949152542373
SMALL_MULTI,2024Q2,year_built,590,0,0.0
SMALL_MULTI,2024Q3,borough,639,0,0.0
SMALL_MULTI,2024Q3,building_age,639,0,0.0
SMALL_MULTI,2024Q3,building_class,639,0,0.0
SMALL_MULTI,2024Q3,days_since_2019_start,639,0,0.0
SMALL_MULTI,2024Q3,distance_to_center_km,639,0,0.0
SMALL_MULTI,2024Q3,gross_square_feet,639,0,0.0
SMALL_MULTI,2024Q3,h3_price_lag,639,0,0.0
SMALL_MULTI,2024Q3,month_cos,639,0,0.0
SMALL_MULTI,2024Q3,month_sin,639,0,0.0
SMALL_MULTI,2024Q3,neighborhood,639,0,0.0
SMALL_MULTI,2024Q3,property_segment,639,0,0.0
SMALL_MULTI,2024Q3,rate_regime_bucket,639,0,0.0
SMALL_MULTI,2024Q3,residential_units,639,260,0.40688575899843504
SMALL_MULTI,2024Q3,total_units,639,260,0.40688575899843504
SMALL_MULTI,2024Q3,year_built,639,0,0.0
SMALL_MULTI,2024Q4,borough,561,0,0.0
SMALL_MULTI,2024Q4,building_age,561,0,0.0
SMALL_MULTI,2024Q4,building_class,561,0,0.0
SMALL_MULTI,2024Q4,days_since_2019_start,561,0,0.0
SMALL_MULTI,2024Q4,distance_to_center_km,561,0,0.0
SMALL_MULTI,2024Q4,gross_square_feet,561,0,0.0
SMALL_MULTI,2024Q4,h3_price_lag,561,0,0.0
SMALL_MULTI,2024Q4,month_cos,561,0,0.0
SMALL_MULTI,2024Q4,month_sin,561,0,0.0
SMALL_MULTI,2024Q4,neighborhood,561,0,0.0
SMALL_MULTI,2024Q4,property_segment,561,0,0.0
SMALL_MULTI,2024Q4,rate_regime_bucket,561,0,0.0
SMALL_MULTI,2024Q4,residential_units,561,228,0.40641711229946526
SMALL_MULTI,2024Q4,total_units,561,228,0.40641711229946526
SMALL_MULTI,2024Q4,year_built,561,0,0.0
WALKUP,2023Q3,borough,405,0,0.0
WALKUP,2023Q3,building_age,405,0,0.0
WALKUP,2023Q3,building_class,405,0,0.0
WALKUP,2023Q3,days_since_2019_start,405,0,0.0
WALKUP,2023Q3,distance_to_center_km,405,0,0.0
WALKUP,2023Q3,gross_square_feet,405,0,0.0
WALKUP,2023Q3,h3_price_lag,405,0,0.0
WALKUP,2023Q3,month_cos,405,0,0.0
WALKUP,2023Q3,month_sin,405,0,0.0
WALKUP,2023Q3,neighborhood,405,0,0.0
WALKUP,2023Q3,property_segment,405,0,0.0
WALKUP,2023Q3,rate_regime_bucket,405,0,0.0
WALKUP,2023Q3,residential_units,405,184,0.454320987654321
WALKUP,2023Q3,total_units,405,184,0.454320987654321
WALKUP,2023Q3,year_built,405,0,0.0
WALKUP,2023Q4,borough,867,0,0.0
WALKUP,2023Q4,building_age,867,0,0.0
WALKUP,2023Q4,building_class,867,0,0.0
WALKUP,2023Q4,days_since_2019_start,867,0,0.0
WALKUP,2023Q4,distance_to_center_km,867,0,0.0
WALKUP,2023Q4,gross_square_feet,867,0,0.0
WALKUP,2023Q4,h3_price_lag,867,0,0.0
WALKUP,2023Q4,month_cos,867,0,0.0
WALKUP,2023Q4,month_sin,867,0,0.0
WALKUP,2023Q4,neighborhood,867,0,0.0
WALKUP,2023Q4,property_segment,867,0,0.0
WALKUP,2023Q4,rate_regime_bucket,867,0,0.0
WALKUP,2023Q4,residential_units,867,476,0.5490196078431373
WALKUP,2023Q4,total_units,867,476,0.5490196078431373
WALKUP,2023Q4,year_built,867,0,0.0
WALKUP,2024Q1,borough,879,0,0.0
WALKUP,2024Q1,building_age,879,0,0.0
WALKUP,2024Q1,building_class,879,0,0.0
WALKUP,2024Q1,days_since_2019_start,879,0,0.0
WALKUP,2024Q1,distance_to_center_km,879,0,0.0
WALKUP,2024Q1,gross_square_feet,879,0,0.0
WALKUP,2024Q1,h3_price_lag,879,0,0.0
WALKUP,2024Q1,month_cos,879,0,0.0
WALKUP,2024Q1,month_sin,879,0,0.0
WALKUP,2024Q1,neighborhood,879,0,0.0
WALKUP,2024Q1,property_segment,879,0,0.0
WALKUP,2024Q1,rate_regime_bucket,879,0,0.0
WALKUP,2024Q1,residential_units,879,453,0.515358361774744
WALKUP,2024Q1,total_units,879,453,0.515358361774744
WALKUP,2024Q1,year_built,879,0,0.0
WALKUP,2024Q2,borough,990,0,0.0
WALKUP,2024Q2,building_age,990,0,0.0
WALKUP,2024Q2,building_class,990,0,0.0
WALKUP,2024Q2,days_since_2019_start,990,0,0.0
WALKUP,2024Q2,distance_to_center_km,990,0,0.0
WALKUP,2024Q2,gross_square_feet,990,0,0.0
WALKUP,2024Q2,h3_price_lag,990,0,0.0
WALKUP,2024Q2,month_cos,990,0,0.0
WALKUP,2024Q2,month_sin,990,0,0.0
WALKUP,2024Q2,neighborhood,990,0,0.0
WALKUP,2024Q2,property_segment,990,0,0.0
WALKUP,2024Q2,rate_regime_bucket,990,0,0.0
WALKUP,2024Q2,residential_units,990,502,0.5070707070707071
WALKUP,2024Q2,total_units,990,502,0.5070707070707071
WALKUP,2024Q2,year_built,990,0,0.0
WALKUP,2024Q3,borough,986,0,0.0
WALKUP,2024Q3,building_age,986,0,0.0
WALKUP,2024Q3,building_class,986,0,0.0
WALKUP,2024Q3,days_since_2019_start,986,0,0.0
WALKUP,2024Q3,distance_to_center_km,986,0,0.0
WALKUP,2024Q3,gross_square_feet,986,0,0.0
WALKUP,2024Q3,h3_price_lag,986,0,0.0
WALKUP,2024Q3,month_cos,986,0,0.0
WALKUP,2024Q3,month_sin,986,0,0.0
WALKUP,2024Q3,neighborhood,986,0,0.0
WALKUP,2024Q3,property_segment,986,0,0.0
WALKUP,2024Q3,rate_regime_bucket,986,0,0.0
WALKUP,2024Q3,residential_units,986,520,0.5273833671399595
WALKUP,2024Q3,total_units,986,520,0.5273833671399595
WALKUP,2024Q3,year_built,986,0,0.0
WALKUP,2024Q4,borough,1016,0,0.0
WALKUP,2024Q4,building_age,1016,0,0.0
WALKUP,2024Q4,building_class,1016,0,0.0
WALKUP,2024Q4,days_since_2019_start,1016,0,0.0
WALKUP,2024Q4,distance_to_center_km,1016,0,0.0
WALKUP,2024Q4,gross_square_feet,1016,0,0.0
WALKUP,2024Q4,h3_price_lag,1016,0,0.0
WALKUP,2024Q4,month_cos,1016,0,0.0
WALKUP,2024Q4,month_sin,1016,0,0.0
WALKUP,2024Q4,neighborhood,1016,0,0.0
WALKUP,2024Q4,property_segment,1016,0,0.0
WALKUP,2024Q4,rate_regime_bucket,1016,0,0.0
WALKUP,2024Q4,residential_units,1016,491,0.48326771653543305
WALKUP,2024Q4,total_units,1016,491,0.48326771653543305
WALKUP,2024Q4,year_built,1016,0,0.0
